t_ns,cx,cy,r_px,bx,by,bz,ee_x,ee_y,ee_z,ee_r,ee_p,ee_yaw,vx,vy,vz,wx,wy,wz
1758229622441173391,212,288,25.0,-0.19703414634146343,0.08757073170731709,1.122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229622474611194,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229622508024778,212,289,25.0,-0.1961560975609756,0.08899674796747967,1.117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229622541445045,211,287,25.0,-0.19832682926829268,0.0855170731707317,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229622574735612,212,288,25.0,-0.19685853658536584,0.08749268292682927,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229622608044338,211,287,25.0,-0.1992130081300813,0.08589918699186992,1.124,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229622641611487,212,288,25.0,-0.1961560975609756,0.08718048780487805,1.117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229622679727215,212,289,25.0,-0.19685853658536584,0.08931544715447155,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229622708992217,212,289,25.0,-0.19703414634146343,0.08939512195121953,1.122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229622741319987,212,288,25.0,-0.19685853658536584,0.08749268292682927,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229622774684587,212,289,25.0,-0.19598048780487806,0.08891707317073172,1.116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229622808135771,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229622841034042,212,288,25.0,-0.1961560975609756,0.08718048780487805,1.117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229622874881455,212,288,25.0,-0.19738536585365854,0.08772682926829269,1.124,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229622908689331,211,288,25.0,-0.1986813008130081,0.08749268292682927,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229622942115787,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229622975390698,212,289,25.0,-0.1961560975609756,0.08899674796747967,1.117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623008809182,212,289,25.0,-0.1961560975609756,0.08899674796747967,1.117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623042189445,212,288,25.0,-0.19685853658536584,0.08749268292682927,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623075486755,212,288,25.0,-0.19720975609756097,0.08764878048780488,1.123,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623108887971,212,288,25.0,-0.19738536585365854,0.08772682926829269,1.124,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623142401025,212,289,25.0,-0.1961560975609756,0.08899674796747967,1.117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623175757179,212,289,25.0,-0.19650731707317073,0.08915609756097562,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623209065405,212,288,25.0,-0.19720975609756097,0.08764878048780488,1.123,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623242496977,212,288,25.0,-0.1963317073170732,0.08725853658536585,1.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623275881937,212,288,25.0,-0.19703414634146343,0.08757073170731709,1.122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623309165597,212,288,25.0,-0.19685853658536584,0.08749268292682927,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623342485155,212,288,25.0,-0.1963317073170732,0.08725853658536585,1.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623376969195,212,289,25.0,-0.19685853658536584,0.08931544715447155,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623409267104,212,288,25.0,-0.1963317073170732,0.08725853658536585,1.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623442758709,212,288,25.0,-0.1963317073170732,0.08725853658536585,1.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623476001998,212,289,25.0,-0.1961560975609756,0.08899674796747967,1.117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623509536016,211,287,25.0,-0.19885853658536587,0.08574634146341464,1.122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623542751778,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623576207340,212,289,25.0,-0.1963317073170732,0.08907642276422764,1.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623609592394,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623643017140,212,288,25.0,-0.19598048780487806,0.08710243902439026,1.116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623676280647,212,288,25.0,-0.1958048780487805,0.08702439024390243,1.115,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229623709731371,212,288,25.0,-0.1963317073170732,0.08725853658536585,1.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
